ts,timestamp,symbol,session,archetype,direction,entry,stop,target,risk,reward,r_multiple,confidence,reasons,horizon,outcome,exit_price,ambiguous
1483453800,2017-01-03 09:30:00,ES,RR,wddrb_sigma_distribution,long,2252.0,2250.0,2252.75,2.0,0.75,-1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",session,stop,2250.0,True
1483454100,2017-01-03 09:35:00,ES,RR,range_pre_break_hold,long,2249.75,2248.5,2251.5,1.25,1.75,-1.0,0.7000000000000001,"['near_first_low', 'pre_break', 'model_up_bias', 'cluster_near_weekly']",1h,stop,2248.5,True
1483454100,2017-01-03 09:35:00,ES,RR,range_pre_break_hold,long,2249.75,2248.5,2251.5,1.25,1.75,-1.0,0.7000000000000001,"['near_first_low', 'pre_break', 'model_up_bias', 'cluster_near_weekly']",2h,stop,2248.5,True
1483454100,2017-01-03 09:35:00,ES,RR,range_pre_break_hold,long,2249.75,2248.5,2251.5,1.25,1.75,-1.0,0.7000000000000001,"['near_first_low', 'pre_break', 'model_up_bias', 'cluster_near_weekly']",4h,stop,2248.5,True
1483454100,2017-01-03 09:35:00,ES,RR,range_pre_break_hold,long,2249.75,2248.5,2251.5,1.25,1.75,-1.0,0.7000000000000001,"['near_first_low', 'pre_break', 'model_up_bias', 'cluster_near_weekly']",session,stop,2248.5,True
1483454100,2017-01-03 09:35:00,ES,RR,cluster_rejection_fade,long,2249.75,2247.75,2254.0,2.0,4.25,2.125,0.7000000000000001,"['rejection_bias', 'cluster_confluence', 'model_up_bias', 'cluster_near_weekly']",1h,target,2254.0,False
1483454100,2017-01-03 09:35:00,ES,RR,cluster_rejection_fade,long,2249.75,2247.75,2254.0,2.0,4.25,2.125,0.7000000000000001,"['rejection_bias', 'cluster_confluence', 'model_up_bias', 'cluster_near_weekly']",2h,target,2254.0,False
1483454100,2017-01-03 09:35:00,ES,RR,cluster_rejection_fade,long,2249.75,2247.75,2254.0,2.0,4.25,2.125,0.7000000000000001,"['rejection_bias', 'cluster_confluence', 'model_up_bias', 'cluster_near_weekly']",4h,target,2254.0,False
1483454100,2017-01-03 09:35:00,ES,RR,cluster_rejection_fade,long,2249.75,2247.75,2254.0,2.0,4.25,2.125,0.7000000000000001,"['rejection_bias', 'cluster_confluence', 'model_up_bias', 'cluster_near_weekly']",session,target,2254.0,False
1483457400,2017-01-03 10:30:00,ES,RS,wddrb_sigma_distribution,long,2255.5,2253.5,2259.5,2.0,4.0,-1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",1h,stop,2253.5,False
1483457400,2017-01-03 10:30:00,ES,RS,wddrb_sigma_distribution,long,2255.5,2253.5,2259.5,2.0,4.0,-1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",2h,stop,2253.5,False
1483457400,2017-01-03 10:30:00,ES,RS,wddrb_sigma_distribution,long,2255.5,2253.5,2259.5,2.0,4.0,-1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",4h,stop,2253.5,False
1483457400,2017-01-03 10:30:00,ES,RS,wddrb_sigma_distribution,long,2255.5,2253.5,2259.5,2.0,4.0,-1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",session,stop,2253.5,False
1483457400,2017-01-03 10:30:00,ES,RS,model_forward,long,2255.5,2253.5,2259.5,2.0,4.0,-1.0,0.55,"['model_up_bias', 'model_up_bias']",1h,stop,2253.5,False
1483457400,2017-01-03 10:30:00,ES,RS,model_forward,long,2255.5,2253.5,2259.5,2.0,4.0,-1.0,0.55,"['model_up_bias', 'model_up_bias']",2h,stop,2253.5,False
1483457400,2017-01-03 10:30:00,ES,RS,model_forward,long,2255.5,2253.5,2259.5,2.0,4.0,-1.0,0.55,"['model_up_bias', 'model_up_bias']",4h,stop,2253.5,False
1483457400,2017-01-03 10:30:00,ES,RS,model_forward,long,2255.5,2253.5,2259.5,2.0,4.0,-1.0,0.55,"['model_up_bias', 'model_up_bias']",session,stop,2253.5,False
1483457700,2017-01-03 10:35:00,ES,RS,range_post_break_pullback,long,2252.75,2248.25,2270.75,4.5,18.0,-1.0,0.55,"['pullback_first_high', 'post_break', 'model_up_bias']",1h,stop,2248.25,False
1483457700,2017-01-03 10:35:00,ES,RS,range_post_break_pullback,long,2252.75,2248.25,2270.75,4.5,18.0,-1.0,0.55,"['pullback_first_high', 'post_break', 'model_up_bias']",2h,stop,2248.25,False
1483457700,2017-01-03 10:35:00,ES,RS,range_post_break_pullback,long,2252.75,2248.25,2270.75,4.5,18.0,-1.0,0.55,"['pullback_first_high', 'post_break', 'model_up_bias']",4h,stop,2248.25,False
1483457700,2017-01-03 10:35:00,ES,RS,range_post_break_pullback,long,2252.75,2248.25,2270.75,4.5,18.0,-1.0,0.55,"['pullback_first_high', 'post_break', 'model_up_bias']",session,stop,2248.25,False
1483457700,2017-01-03 10:35:00,ES,RS,wddrb_sigma_distribution,long,2252.75,2250.75,2259.5,2.0,6.75,-1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",1h,stop,2250.75,False
1483457700,2017-01-03 10:35:00,ES,RS,wddrb_sigma_distribution,long,2252.75,2250.75,2259.5,2.0,6.75,-1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",2h,stop,2250.75,False
1483457700,2017-01-03 10:35:00,ES,RS,wddrb_sigma_distribution,long,2252.75,2250.75,2259.5,2.0,6.75,-1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",4h,stop,2250.75,False
1483457700,2017-01-03 10:35:00,ES,RS,wddrb_sigma_distribution,long,2252.75,2250.75,2259.5,2.0,6.75,-1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",session,stop,2250.75,False
1483458300,2017-01-03 10:45:00,ES,RS,wddrb_sigma_distribution,long,2250.5,2253.875,2259.5,3.375,9.0,1.0,0.7000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']",1h,stop,2253.875,False
1483458300,2017-01-03 10:45:00,ES,RS,wddrb_sigma_distribution,long,2250.5,2253.875,2259.5,3.375,9.0,1.0,0.7000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']",2h,stop,2253.875,False
1483458300,2017-01-03 10:45:00,ES,RS,wddrb_sigma_distribution,long,2250.5,2253.875,2259.5,3.375,9.0,1.0,0.7000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']",4h,stop,2253.875,False
1483458300,2017-01-03 10:45:00,ES,RS,wddrb_sigma_distribution,long,2250.5,2253.875,2259.5,3.375,9.0,1.0,0.7000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']",session,stop,2253.875,False
1483458300,2017-01-03 10:45:00,ES,RS,model_forward,long,2250.5,2253.875,2259.5,3.375,9.0,1.0,0.7000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']",1h,stop,2253.875,False
1483458300,2017-01-03 10:45:00,ES,RS,model_forward,long,2250.5,2253.875,2259.5,3.375,9.0,1.0,0.7000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']",2h,stop,2253.875,False
1483458300,2017-01-03 10:45:00,ES,RS,model_forward,long,2250.5,2253.875,2259.5,3.375,9.0,1.0,0.7000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']",4h,stop,2253.875,False
1483458300,2017-01-03 10:45:00,ES,RS,model_forward,long,2250.5,2253.875,2259.5,3.375,9.0,1.0,0.7000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']",session,stop,2253.875,False
1484008200,2017-01-09 19:30:00,ES,AR,range_pre_break_hold,long,2262.5,2261.5,2264.5,1.0,2.0,-1.0,0.6000000000000001,"['near_first_low', 'pre_break', 'model_up_bias', 'cluster_near_monthly']",1h,stop,2261.5,False
1484008200,2017-01-09 19:30:00,ES,AR,range_pre_break_hold,long,2262.5,2261.5,2264.5,1.0,2.0,-1.0,0.6000000000000001,"['near_first_low', 'pre_break', 'model_up_bias', 'cluster_near_monthly']",2h,stop,2261.5,False
1484008200,2017-01-09 19:30:00,ES,AR,range_pre_break_hold,long,2262.5,2261.5,2264.5,1.0,2.0,-1.0,0.6000000000000001,"['near_first_low', 'pre_break', 'model_up_bias', 'cluster_near_monthly']",4h,stop,2261.5,False
1484008200,2017-01-09 19:30:00,ES,AR,range_pre_break_hold,long,2262.5,2261.5,2264.5,1.0,2.0,-1.0,0.6000000000000001,"['near_first_low', 'pre_break', 'model_up_bias', 'cluster_near_monthly']",session,stop,2261.5,False
1484008200,2017-01-09 19:30:00,ES,AR,wddrb_sigma_distribution,long,2262.5,2266.875,2270.25,4.375,7.75,1.0,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_monthly']",1h,stop,2266.875,False
1484008200,2017-01-09 19:30:00,ES,AR,wddrb_sigma_distribution,long,2262.5,2266.875,2270.25,4.375,7.75,1.0,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_monthly']",2h,stop,2266.875,False
1484008200,2017-01-09 19:30:00,ES,AR,wddrb_sigma_distribution,long,2262.5,2266.875,2270.25,4.375,7.75,1.0,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_monthly']",4h,stop,2266.875,False
1484008200,2017-01-09 19:30:00,ES,AR,wddrb_sigma_distribution,long,2262.5,2266.875,2270.25,4.375,7.75,1.0,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_monthly']",session,stop,2266.875,False
1484011800,2017-01-09 20:30:00,ES,AS,range_post_break_pullback,short,2262.5,2263.5,2262.25,1.0,0.25,0.25,0.7000000000000001,"['pullback_first_low', 'post_break', 'model_down_bias', 'cluster_near_monthly']",1h,target,2262.25,False
1484011800,2017-01-09 20:30:00,ES,AS,range_post_break_pullback,short,2262.5,2263.5,2262.25,1.0,0.25,0.25,0.7000000000000001,"['pullback_first_low', 'post_break', 'model_down_bias', 'cluster_near_monthly']",2h,target,2262.25,False
1484011800,2017-01-09 20:30:00,ES,AS,range_post_break_pullback,short,2262.5,2263.5,2262.25,1.0,0.25,0.25,0.7000000000000001,"['pullback_first_low', 'post_break', 'model_down_bias', 'cluster_near_monthly']",4h,target,2262.25,False
1484011800,2017-01-09 20:30:00,ES,AS,range_post_break_pullback,short,2262.5,2263.5,2262.25,1.0,0.25,0.25,0.7000000000000001,"['pullback_first_low', 'post_break', 'model_down_bias', 'cluster_near_monthly']",session,target,2262.25,False
1484011800,2017-01-09 20:30:00,ES,AS,wddrb_sigma_distribution,short,2262.5,2266.875,2260.125,4.375,2.375,-0.11428571428571428,0.7000000000000001,"['wddrb_mid_sigma', 'model_down_bias', 'cluster_near_monthly']",1h,timeout,2263.0,False
1484011800,2017-01-09 20:30:00,ES,AS,wddrb_sigma_distribution,short,2262.5,2266.875,2260.125,4.375,2.375,0.11428571428571428,0.7000000000000001,"['wddrb_mid_sigma', 'model_down_bias', 'cluster_near_monthly']",2h,timeout,2262.0,False
1484011800,2017-01-09 20:30:00,ES,AS,wddrb_sigma_distribution,short,2262.5,2266.875,2260.125,4.375,2.375,0.5428571428571428,0.7000000000000001,"['wddrb_mid_sigma', 'model_down_bias', 'cluster_near_monthly']",4h,target,2260.125,False
1484011800,2017-01-09 20:30:00,ES,AS,wddrb_sigma_distribution,short,2262.5,2266.875,2260.125,4.375,2.375,0.5428571428571428,0.7000000000000001,"['wddrb_mid_sigma', 'model_down_bias', 'cluster_near_monthly']",session,target,2260.125,False
1484012100,2017-01-09 20:35:00,ES,AS,range_post_break_pullback,short,2262.75,2263.5,2262.25,0.75,0.5,0.6666666666666666,0.7000000000000001,"['pullback_first_low', 'post_break', 'model_down_bias', 'cluster_near_monthly']",1h,target,2262.25,False
1484012100,2017-01-09 20:35:00,ES,AS,range_post_break_pullback,short,2262.75,2263.5,2262.25,0.75,0.5,0.6666666666666666,0.7000000000000001,"['pullback_first_low', 'post_break', 'model_down_bias', 'cluster_near_monthly']",2h,target,2262.25,False
1484012100,2017-01-09 20:35:00,ES,AS,range_post_break_pullback,short,2262.75,2263.5,2262.25,0.75,0.5,0.6666666666666666,0.7000000000000001,"['pullback_first_low', 'post_break', 'model_down_bias', 'cluster_near_monthly']",4h,target,2262.25,False
1484012100,2017-01-09 20:35:00,ES,AS,range_post_break_pullback,short,2262.75,2263.5,2262.25,0.75,0.5,0.6666666666666666,0.7000000000000001,"['pullback_first_low', 'post_break', 'model_down_bias', 'cluster_near_monthly']",session,target,2262.25,False
1484012100,2017-01-09 20:35:00,ES,AS,wddrb_sigma_distribution,short,2262.75,2266.875,2260.125,4.125,2.625,0.06060606060606061,0.7000000000000001,"['wddrb_mid_sigma', 'model_down_bias', 'cluster_near_monthly']",1h,timeout,2262.5,False
1484012100,2017-01-09 20:35:00,ES,AS,wddrb_sigma_distribution,short,2262.75,2266.875,2260.125,4.125,2.625,0.24242424242424243,0.7000000000000001,"['wddrb_mid_sigma', 'model_down_bias', 'cluster_near_monthly']",2h,timeout,2261.75,False
1484012100,2017-01-09 20:35:00,ES,AS,wddrb_sigma_distribution,short,2262.75,2266.875,2260.125,4.125,2.625,0.6363636363636364,0.7000000000000001,"['wddrb_mid_sigma', 'model_down_bias', 'cluster_near_monthly']",4h,target,2260.125,False
1484012100,2017-01-09 20:35:00,ES,AS,wddrb_sigma_distribution,short,2262.75,2266.875,2260.125,4.125,2.625,0.6363636363636364,0.7000000000000001,"['wddrb_mid_sigma', 'model_down_bias', 'cluster_near_monthly']",session,target,2260.125,False
1484035200,2017-01-10 03:00:00,ES,OR,wddrb_sigma_distribution,short,2265.25,2267.25,2260.125,2.0,5.125,1.0,0.65,"['wddrb_mid_sigma', 'cluster_near_monthly']",1h,timeout,2263.25,False
1484035200,2017-01-10 03:00:00,ES,OR,wddrb_sigma_distribution,short,2265.25,2267.25,2260.125,2.0,5.125,0.375,0.65,"['wddrb_mid_sigma', 'cluster_near_monthly']",2h,timeout,2264.5,False
1484035200,2017-01-10 03:00:00,ES,OR,wddrb_sigma_distribution,short,2265.25,2267.25,2260.125,2.0,5.125,0.25,0.65,"['wddrb_mid_sigma', 'cluster_near_monthly']",4h,timeout,2264.75,False
1484035200,2017-01-10 03:00:00,ES,OR,wddrb_sigma_distribution,short,2265.25,2267.25,2260.125,2.0,5.125,1.125,0.65,"['wddrb_mid_sigma', 'cluster_near_monthly']",session,timeout,2263.0,False
1484035200,2017-01-10 03:00:00,ES,OR,cluster_rejection_fade,short,2265.25,2267.25,2260.125,2.0,5.125,1.0,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_monthly']",1h,timeout,2263.25,False
1484035200,2017-01-10 03:00:00,ES,OR,cluster_rejection_fade,short,2265.25,2267.25,2260.125,2.0,5.125,0.375,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_monthly']",2h,timeout,2264.5,False
1484035200,2017-01-10 03:00:00,ES,OR,cluster_rejection_fade,short,2265.25,2267.25,2260.125,2.0,5.125,0.25,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_monthly']",4h,timeout,2264.75,False
1484035200,2017-01-10 03:00:00,ES,OR,cluster_rejection_fade,short,2265.25,2267.25,2260.125,2.0,5.125,1.125,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_monthly']",session,timeout,2263.0,False
1484036100,2017-01-10 03:15:00,ES,OR,wddrb_sigma_distribution,long,2264.5,2266.875,2270.25,2.375,5.75,1.0,0.55,"['wddrb_mid_sigma', 'cluster_near_weekly']",1h,stop,2266.875,False
1484036100,2017-01-10 03:15:00,ES,OR,wddrb_sigma_distribution,long,2264.5,2266.875,2270.25,2.375,5.75,1.0,0.55,"['wddrb_mid_sigma', 'cluster_near_weekly']",2h,stop,2266.875,False
1484036100,2017-01-10 03:15:00,ES,OR,wddrb_sigma_distribution,long,2264.5,2266.875,2270.25,2.375,5.75,1.0,0.55,"['wddrb_mid_sigma', 'cluster_near_weekly']",4h,stop,2266.875,False
1484036100,2017-01-10 03:15:00,ES,OR,wddrb_sigma_distribution,long,2264.5,2266.875,2270.25,2.375,5.75,1.0,0.55,"['wddrb_mid_sigma', 'cluster_near_weekly']",session,stop,2266.875,False
1484037600,2017-01-10 03:40:00,ES,OR,range_pre_break_hold,short,2263.25,2264.5,2262.25,1.25,1.0,0.8,0.65,"['near_first_high', 'pre_break', 'cluster_near_weekly']",1h,target,2262.25,False
1484037600,2017-01-10 03:40:00,ES,OR,range_pre_break_hold,short,2263.25,2264.5,2262.25,1.25,1.0,0.8,0.65,"['near_first_high', 'pre_break', 'cluster_near_weekly']",2h,target,2262.25,False
1484037600,2017-01-10 03:40:00,ES,OR,range_pre_break_hold,short,2263.25,2264.5,2262.25,1.25,1.0,0.8,0.65,"['near_first_high', 'pre_break', 'cluster_near_weekly']",4h,target,2262.25,False
1484037600,2017-01-10 03:40:00,ES,OR,range_pre_break_hold,short,2263.25,2264.5,2262.25,1.25,1.0,0.8,0.65,"['near_first_high', 'pre_break', 'cluster_near_weekly']",session,target,2262.25,False
1484037600,2017-01-10 03:40:00,ES,OR,range_pre_break_hold,long,2263.25,2261.25,2263.75,2.0,0.5,0.25,0.55,"['near_first_low', 'pre_break', 'cluster_near_weekly']",1h,target,2263.75,False
1484037600,2017-01-10 03:40:00,ES,OR,range_pre_break_hold,long,2263.25,2261.25,2263.75,2.0,0.5,0.25,0.55,"['near_first_low', 'pre_break', 'cluster_near_weekly']",2h,target,2263.75,False
1484037600,2017-01-10 03:40:00,ES,OR,range_pre_break_hold,long,2263.25,2261.25,2263.75,2.0,0.5,0.25,0.55,"['near_first_low', 'pre_break', 'cluster_near_weekly']",4h,target,2263.75,False
1484037600,2017-01-10 03:40:00,ES,OR,range_pre_break_hold,long,2263.25,2261.25,2263.75,2.0,0.5,-0.125,0.55,"['near_first_low', 'pre_break', 'cluster_near_weekly']",session,timeout,2263.0,False
1484038800,2017-01-10 04:00:00,ES,OS,wddrb_sigma_distribution,long,2263.25,2266.875,2270.25,3.625,7.0,1.0,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']",1h,stop,2266.875,False
1484038800,2017-01-10 04:00:00,ES,OS,wddrb_sigma_distribution,long,2263.25,2266.875,2270.25,3.625,7.0,1.0,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']",2h,stop,2266.875,False
1484038800,2017-01-10 04:00:00,ES,OS,wddrb_sigma_distribution,long,2263.25,2266.875,2270.25,3.625,7.0,1.0,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']",4h,stop,2266.875,False
1484038800,2017-01-10 04:00:00,ES,OS,wddrb_sigma_distribution,long,2263.25,2266.875,2270.25,3.625,7.0,1.0,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']",session,stop,2266.875,False
1484038800,2017-01-10 04:00:00,ES,OS,model_forward,long,2263.25,2266.875,2270.25,3.625,7.0,1.0,0.6000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']",1h,stop,2266.875,False
1484038800,2017-01-10 04:00:00,ES,OS,model_forward,long,2263.25,2266.875,2270.25,3.625,7.0,1.0,0.6000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']",2h,stop,2266.875,False
1484038800,2017-01-10 04:00:00,ES,OS,model_forward,long,2263.25,2266.875,2270.25,3.625,7.0,1.0,0.6000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']",4h,stop,2266.875,False
