ts,timestamp_ny,session,archetype,direction,entry,stop,target,r_multiple,condition,expectation,invalidation,weekly_override,horizon,outcome,exit_price,ambiguous
1737124200,2025-01-17T09:30:00-05:00,RR,range_start,short,6026.75,6027.5,6023.0,5.0,perfect rejection + box down,THEN expect rotation toward 6023.00.,"IF price breaks 6027.50, THEN short thesis invalid.",False,1h,target,6023.0,False
1737124200,2025-01-17T09:30:00-05:00,RR,range_start,short,6026.75,6027.5,6023.0,5.0,perfect rejection + box down,THEN expect rotation toward 6023.00.,"IF price breaks 6027.50, THEN short thesis invalid.",False,2h,target,6023.0,False
1737124200,2025-01-17T09:30:00-05:00,RR,range_start,short,6026.75,6027.5,6023.0,5.0,perfect rejection + box down,THEN expect rotation toward 6023.00.,"IF price breaks 6027.50, THEN short thesis invalid.",False,4h,target,6023.0,False
1737124200,2025-01-17T09:30:00-05:00,RR,range_start,short,6026.75,6027.5,6023.0,5.0,perfect rejection + box down,THEN expect rotation toward 6023.00.,"IF price breaks 6027.50, THEN short thesis invalid.",False,session,target,6023.0,False
1738074600,2025-01-28T09:30:00-05:00,RR,range_start,short,6057.5,6059.0,6052.75,3.1666666666666665,perfect rejection + box down,THEN expect rotation toward 6052.75.,"IF price breaks 6059.00, THEN short thesis invalid.",False,1h,target,6052.75,False
1738074600,2025-01-28T09:30:00-05:00,RR,range_start,short,6057.5,6059.0,6052.75,3.1666666666666665,perfect rejection + box down,THEN expect rotation toward 6052.75.,"IF price breaks 6059.00, THEN short thesis invalid.",False,2h,target,6052.75,False
1738074600,2025-01-28T09:30:00-05:00,RR,range_start,short,6057.5,6059.0,6052.75,3.1666666666666665,perfect rejection + box down,THEN expect rotation toward 6052.75.,"IF price breaks 6059.00, THEN short thesis invalid.",False,4h,target,6052.75,False
1738074600,2025-01-28T09:30:00-05:00,RR,range_start,short,6057.5,6059.0,6052.75,3.1666666666666665,perfect rejection + box down,THEN expect rotation toward 6052.75.,"IF price breaks 6059.00, THEN short thesis invalid.",False,session,target,6052.75,False
1738247400,2025-01-30T09:30:00-05:00,RR,range_start,short,6089.5,6092.25,6042.25,-1.0,perfect rejection + box down,THEN expect rotation toward 6042.25.,"IF price breaks 6092.25, THEN short thesis invalid.",False,1h,stop,6092.25,False
1738247400,2025-01-30T09:30:00-05:00,RR,range_start,short,6089.5,6092.25,6042.25,-1.0,perfect rejection + box down,THEN expect rotation toward 6042.25.,"IF price breaks 6092.25, THEN short thesis invalid.",False,2h,stop,6092.25,False
1738247400,2025-01-30T09:30:00-05:00,RR,range_start,short,6089.5,6092.25,6042.25,-1.0,perfect rejection + box down,THEN expect rotation toward 6042.25.,"IF price breaks 6092.25, THEN short thesis invalid.",False,4h,stop,6092.25,False
